,Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID,global_entity_id,lead_id,lead_source,restaurant_name,restaurant_area,restaurant_address,restaurant_post_code,restaurant_lat,restaurant_long,restaurant_city,haversine_distance
33,HS_SA,logistics,keeta,No Match,Shaghaf Cup,,Al-Kharj,"47PG+V65, King Abdullah Road, Al Khuzama, Al-Kharj 16272, Saudi Arabia",24.1618,47.299,,"Beverages, Coffee, Breakfast",580721,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWX5AU,HS_SA,HWX5AU,salesforce,Shaghaf Cup,Prince Sattam Bin Abdulaziz University,"24.137525166394404, 47.27565922693096",,24.137259,47.2755988,Al Kharj,3.6171994266343965
34,HS_SA,logistics,keeta,No Match,Shahi Fel Mokh,,Riyadh,"Taif St, Dhahrat Laban, Riyadh 12553",24.6537,24.6537,,"Beverages, Tea, Saudi Coffee, Breakfast",486319,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HRE5M1,HS_SA,HRE5M1,salesforce,Tea fi almukh : Dhahrat Laban,Dhahrat Laban,Taif St,12553,24.65382779999999,46.5918886,Riyadh,2214.665977617145
35,HS_SA,logistics_proximity,keeta,No Match,Shalimar Restaurant,,Riyadh,"2113 Makkah Al Mukarramah Br Rd, As Sulimaniyah, Riyadh 12621",24.6678,46.7117,,"Asian, Pakistani, Saudi, Meat, Arabic",463287,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HANHE1,HS_SA,HANHE1,salesforce,SHALIMAR RESTAURANT,Al Khubar Al Janubiyah - Al Bayoniya,4th street,34611,26.2760473,50.2107317,Al Khobar,394.130903055394
36,HS_SA,sales,keeta,No Match,Sharqeah,,Riyadh,"8553 Salah Ad Din Al Ayyubi Branch Rd, Al Safa, 4307, Riyadh 12853, Saudi Arabia",24.6771,46.7713,,"Fast Food, Sandwich",489478,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4C0VH1,HS_SA,4C0VH1,salesforce,Sharqeah,Narjis,"24.827751, 46.682321",,24.8277216,46.6822716,Riyadh,19.008614223776366
37,HS_SA,sales,keeta,No Match,Shawarma King,,Al-Kharj,588M+8G3 Jaw Mall، العالية، الخرج 16439,24.1657,47.3338,,"Fast Food, Shawarma",600569,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ,HS_SA,4FI7GQ,salesforce,Shawarma King,Dhahrat Laban,ظهرة لبن - الرياض,,24.621092570798183,46.53250356934627,Riyadh,95.64925136355542
38,HS_SA,logistics_proximity,keeta,No Match,Shawarma King,,Al-Kharj,"Prince Sultan Bin Abdulaziz Branch Rd, Al Faysaliyah, Al-Kharj 16439, Saudi Arabia",24.1522,47.3541,,"Fast Food, Shawarma",463196,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ,HS_SA,4FI7GQ,salesforce,Shawarma King,Dhahrat Laban,ظهرة لبن - الرياض,,24.621092570798183,46.53250356934627,Riyadh,98.19190505240638
39,HS_SA,logistics,keeta,No Match,Shawarma King,,Al-Kharj,5842+CH8، البرج، الخرج 16278,24.1563,47.3015,,"Fast Food, Shawarma",462878,Invalid lead (Add reason),Already exist,Ahmed khalil,4FI7GQ,HS_SA,4FI7GQ,salesforce,Shawarma King,Dhahrat Laban,ظهرة لبن - الرياض,,24.621092570798183,46.53250356934627,Riyadh,93.46671914902556
40,HS_SA,logistics_proximity,keeta,No Match,Shawarma Kooz,,Al-Kharj,"4221 Badi Al-Zaman Al-Hamdani, Al-Nahdah District, Al-Kharj 16439",24.1517,47.3546,,"Fast Food, Shawarma, Local Flavors",463093,Invalid lead (Add reason),Already exist,Ahmed khalil,4FBKZC,HS_SA,4FBKZC,salesforce,Shawerma Kooz,Al Andalus,Tariq Ibn Ziyad,16438,24.1434415,47.3508107,Al-Kharj,0.9955431935201765
41,HS_SA,logistics_proximity,keeta,No Match,Starbucks® -,,Al-Kharj,King Abdulaziz RD Alkharj,24.1918,47.2771,,"Beverages, Coffee",468890,Invalid lead (Add reason),Already exist,Bandar Alshathri,4F668U,HS_SA,4F668U,salesforce,Starbucks®,Al Khuzama,1,,24.129300472024433,47.265352208736424,Al Kharj,7.0510926685801065
42,HS_SA,logistics,keeta,No Match,Talab Kebda,,Riyadh,"RCCA3478 7201 Manfuhah, Skirinah, 3478, Riyadh 12654",24.6153,46.7204,,"Arabic, Egyptian",486317,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HAP8ZY,HS_SA,HAP8ZY,salesforce,Liver shot : Manfouhah Al Jadidah,Manfouhah Al Jadidah,1,14244,24.61342400000001,46.72012009999999,Riyadh,0.21051196478402448
